game_id,period,period_long,time,team_id,team_abbrev,player_id,player,jersey,position,infraction,minutes,is_power_play,is_bench,served_by_id,served_by,ref1,ref2,linesman1,linesman2
1027935,1,1st,8:00,411,SPR,9862,Leo Lööf,7,D,Cross-checking,2.00,1,0,9862,Leo Lööf,Riley Brace,Austin Rook,,
1027935,1,1st,15:06,317,BRI,10564,Cam Berg,14,F,Tripping,2.00,1,0,10564,Cam Berg,Riley Brace,Austin Rook,,
1027935,1,1st,19:42,317,BRI,7627,Hunter Drew,36,RW,Double minor - High-sticking,4.00,1,0,7627,Hunter Drew,Riley Brace,Austin Rook,,
1027935,2,2nd,6:31,317,BRI,10040,Alex Jefferies,16,F,Tripping,2.00,1,0,10040,Alex Jefferies,Riley Brace,Austin Rook,,
1027935,2,2nd,10:28,317,BRI,9689,Travis Mitchell,10,D,Delay of game,2.00,1,0,9689,Travis Mitchell,Riley Brace,Austin Rook,,
1027935,2,2nd,20:00,317,BRI,10020,Luke Rowe,24,D,Delay of game,2.00,1,0,10020,Luke Rowe,Riley Brace,Austin Rook,,
1027935,3,3rd,5:37,411,SPR,8461,Hugh McGing,11,F,Slashing,2.00,1,0,8461,Hugh McGing,Riley Brace,Austin Rook,,
1027935,3,3rd,7:51,411,SPR,10143,Dylan Peterson,22,F,Interference,2.00,1,0,10143,Dylan Peterson,Riley Brace,Austin Rook,,
1027935,3,3rd,16:56,411,SPR,6733,Matt Luff,39,RW,Goaltender interference,2.00,1,0,6733,Matt Luff,Riley Brace,Austin Rook,,
1027935,3,3rd,19:23,317,BRI,9689,Travis Mitchell,10,D,Roughing,2.00,1,0,9689,Travis Mitchell,Riley Brace,Austin Rook,,
