game_id,period,period_long,time,team_id,team_abbrev,player_id,player,jersey,position,infraction,minutes,is_power_play,is_bench,served_by_id,served_by,ref1,ref2,linesman1,linesman2
1028231,1,1st,6:26,317,BRI,7248,Sean Day,47,D,Interference,2.00,1,0,7248,Sean Day,Riley Brace,Austin Rook,,
1028231,2,2nd,8:10,411,SPR,10920,Theo Lindstein,4,D,Holding,2.00,1,0,10920,Theo Lindstein,Riley Brace,Austin Rook,,
1028231,2,2nd,9:04,317,BRI,0,None None,0,,Too many men - Bench minor,2.00,1,1,7627,Hunter Drew,Riley Brace,Austin Rook,,
1028231,3,3rd,2:01,411,SPR,8461,Hugh McGing,11,F,Tripping,2.00,1,0,8461,Hugh McGing,Riley Brace,Austin Rook,,
1028231,3,3rd,11:14,317,BRI,10388,Cam Thiesing,15,F,Holding,2.00,1,0,10388,Cam Thiesing,Riley Brace,Austin Rook,,
