game_id,period,period_long,time,team_id,team_abbrev,player_id,player,jersey,position,infraction,minutes,is_power_play,is_bench,served_by_id,served_by,ref1,ref2,linesman1,linesman2
1028031,1,1st,4:10,405,SJ,10494,Igor Chernyshov,92,F,Tripping,2.00,1,0,10494,Igor Chernyshov,Morgan MacPhee,Sydney Harris,,
1028031,1,1st,11:48,440,ABB,5882,Joseph LaBate,14,C,Tripping,2.00,1,0,5882,Joseph LaBate,Morgan MacPhee,Sydney Harris,,
1028031,1,1st,15:48,405,SJ,6669,Colin White,16,C,High-sticking,2.00,1,0,6669,Colin White,Morgan MacPhee,Sydney Harris,,
1028031,1,1st,19:25,440,ABB,10057,Jonathan Lekkerimäki,23,RW,Slashing,2.00,1,0,10057,Jonathan Lekkerimäki,Morgan MacPhee,Sydney Harris,,
1028031,2,2nd,1:56,440,ABB,7189,Arnaud Durandeau,52,LW,Tripping,2.00,1,0,7189,Arnaud Durandeau,Morgan MacPhee,Sydney Harris,,
1028031,2,2nd,7:32,440,ABB,9674,Ben Berard,29,LW,Diving/Embellishment,2.00,0,0,9674,Ben Berard,Morgan MacPhee,Sydney Harris,,
1028031,2,2nd,7:32,405,SJ,9177,Braden Hache,86,D,Cross-checking,2.00,0,0,9177,Braden Hache,Morgan MacPhee,Sydney Harris,,
1028031,2,2nd,9:14,440,ABB,5882,Joseph LaBate,14,C,Roughing,2.00,1,0,5882,Joseph LaBate,Morgan MacPhee,Sydney Harris,,
1028031,2,2nd,11:24,405,SJ,10231,Kasper Halttunen,14,F,High-sticking,2.00,1,0,10231,Kasper Halttunen,Morgan MacPhee,Sydney Harris,,
1028031,2,2nd,12:46,405,SJ,9621,Anthony Vincent,76,F,Roughing,2.00,0,0,9621,Anthony Vincent,Morgan MacPhee,Sydney Harris,,
1028031,2,2nd,12:46,440,ABB,10117,Vilmer Alriksson,46,LW,Roughing,2.00,0,0,10117,Vilmer Alriksson,Morgan MacPhee,Sydney Harris,,
1028031,2,2nd,15:37,440,ABB,10090,Victor Mancini,90,D,Delay of game,2.00,1,0,10090,Victor Mancini,Morgan MacPhee,Sydney Harris,,
1028031,2,2nd,17:35,440,ABB,7767,Jimmy Schuldt,48,D,Roughing,2.00,0,0,7767,Jimmy Schuldt,Morgan MacPhee,Sydney Harris,,
1028031,2,2nd,17:35,405,SJ,8914,Egor Afanasyev,11,LW,Roughing,2.00,0,0,8914,Egor Afanasyev,Morgan MacPhee,Sydney Harris,,
1028031,2,2nd,18:15,405,SJ,9165,Vincent Iorio,22,D,Unsportsmanlike conduct,2.00,0,0,9165,Vincent Iorio,Morgan MacPhee,Sydney Harris,,
1028031,2,2nd,18:15,440,ABB,10117,Vilmer Alriksson,46,LW,Unsportsmanlike conduct,2.00,0,0,10117,Vilmer Alriksson,Morgan MacPhee,Sydney Harris,,
1028031,3,3rd,6:05,405,SJ,8709,Jack Thompson,26,D,Tripping,2.00,1,0,8709,Jack Thompson,Morgan MacPhee,Sydney Harris,,
1028031,3,3rd,8:46,440,ABB,5502,Jujhar Khaira,15,C,Unsportsmanlike conduct,2.00,0,0,5502,Jujhar Khaira,Morgan MacPhee,Sydney Harris,,
1028031,3,3rd,8:46,405,SJ,9190,Pavol Regenda,84,LW,Unsportsmanlike conduct,2.00,0,0,9190,Pavol Regenda,Morgan MacPhee,Sydney Harris,,
